isin,date
US0844238057,2019Q4
US29364P5098,2019Q4
US4165185046,2019Q4
US6374321056,2019Q4
US65339K8606,2019Q4
US7593517037,2019Q4
US7593518027,2019Q4
US9116846034,2019Q4
XS2103225582,2019Q4
XS2027763965,2019Q4
XS2059589320,2019Q4
CNE100003PX9,2019Q4
CNE100003PY7,2019Q4
KYG609201085,2019Q4
KYG5140J1013,2019Q4
GB00BKY40Q38,2019Q4
AU0000058224,2019Q4
CNE100002BW3,2019Q4
CNE100002C70,2019Q4
CNE100002R81,2019Q4
HK0000503208,2019Q4
KR7336260005,2019Q4
KYG667221025,2019Q4
SA13IG50SE12,2019Q4
TW0001528008,2019Q4
KYG2091K1206,2019Q4
ZAE000282356,2019Q4
PHY8171Y1048,2019Q4
INE03V001013,2019Q4
INE391Z01012,2019Q4
AU000000PFP8,2019Q4
JP3266180003,2019Q4
IL0011417206,2019Q4
TW0004417001,2019Q4
KR7015710007,2019Q4
TH8646010018,2019Q4
JP3160560003,2019Q4
BMG0702P1086,2019Q4
JP3205100005,2019Q4
US33751L1052,2019Q4
CA57767U1066,2019Q4
AU000000PPE1,2019Q4
AU0000079691,2019Q4
US00436Q1067,2019Q4
US00650F1093,2019Q4
US00688A1060,2019Q4
US00919P3029,2019Q4
US00973W1027,2019Q4
US02772A1097,2019Q4
US08862L1035,2019Q4
US24984K1051,2019Q4
US29772L1089,2019Q4
US30234E1047,2019Q4
US30260M1036,2019Q4
US44148G1058,2019Q4
US44967K1043,2019Q4
US45166A1025,2019Q4
US45782T1051,2019Q4
US6025661017,2019Q4
US7594191048,2019Q4
US89532M1018,2019Q4
US86311R3012,2019Q4
BMG053841547,2019Q4
BMG053841620,2019Q4
BMG053842040,2019Q4
BMG162491499,2019Q4
BMG162491564,2019Q4
BMG686031367,2019Q4
BMG686031441,2019Q4
BMG686031516,2019Q4
BMG9078F1317,2019Q4
BMG9078F1499,2019Q4
MHY0436Q1585,2019Q4
MHY1001E1095,2019Q4
MHY8564M1131,2019Q4
MHY8564M2048,2019Q4
US0012283034,2019Q4
US0012284024,2019Q4
US00775V1044,2019Q4
US0082528508,2019Q4
US0158577090,2019Q4
US0158578080,2019Q4
US0200021279,2019Q4
US0200023093,2019Q4
US0200024083,2019Q4
US0200028126,2019Q4
US0200028381,2019Q4
US0259328070,2019Q4
US0259328807,2019Q4
US02607T4067,2019Q4
US0268747682,2019Q4
US0357108051,2019Q4
US0357108473,2019Q4
US0357108622,2019Q4
US03768E3036,2019Q4
US03768E4026,2019Q4
US0401302056,2019Q4
US0423154089,2019Q4
US0441036045,2019Q4
US0441037035,2019Q4
US0454872047,2019Q4
US04623A2050,2019Q4
US04623A3041,2019Q4
US04623A4031,2019Q4
US05971J2015,2019Q4
US0640582096,2019Q4
US0844235087,2019Q4
US0844236077,2019Q4
US0844237067,2019Q4
US10922N2027,2019Q4
US10922N3017,2019Q4
US11282X2027,2019Q4
US1170434062,2019Q4
US1170435051,2019Q4
US1170436042,2019Q4
US1248306052,2019Q4
US1248308033,2019Q4
US12542R2094,2019Q4
US12542R3084,2019Q4
US12542R5063,2019Q4
US12542R7044,2019Q4
US12542R8034,2019Q4
US14040H4020,2019Q4
US14040H8245,2019Q4
US14040H8401,2019Q4
US14040H8658,2019Q4
US14040H8815,2019Q4
US14067E6059,2019Q4
US1746102045,2019Q4
US1746104025,2019Q4
US1785872003,2019Q4
US2005253016,2019Q4
US20451Q3020,2019Q4
US21870U3041,2019Q4
US28852N2080,2019Q4
US29278N3017,2019Q4
US29278N4007,2019Q4
US29278N5095,2019Q4
US29364P1030,2019Q4
US29364W5040,2019Q4
US29452E2000,2019Q4
US30255P1030,2019Q4
US3137477010,2019Q4
US3205172048,2019Q4
US3361588037,2019Q4
US33616C7873,2019Q4
US33616C8111,2019Q4
US33616C8376,2019Q4
US33616C8525,2019Q4
US3453708378,2019Q4
US3453708451,2019Q4
US34960P3091,2019Q4
US3618602086,2019Q4
US38143Y6656,2019Q4
US38144G8042,2019Q4
US38144X6094,2019Q4
US38145G3083,2019Q4
US38148B1089,2019Q4
US38148B5049,2019Q4
US38376A2024,2019Q4
US4108672043,2019Q4
US4165186036,2019Q4
US43162L2060,2019Q4
US4461507083,2019Q4
US4461508727,2019Q4
US46131B4077,2019Q4
US46131B5066,2019Q4
US56029Q4082,2019Q4
US58844R6036,2019Q4
US6097204043,2019Q4
US6362208570,2019Q4
US6362208737,2019Q4
US6374178746,2019Q4
US6378702053,2019Q4
US64828T3005,2019Q4
US64828T4094,2019Q4
US6494452021,2019Q4
US6496048819,2019Q4
US65339K1007,2019Q4
US6740013007,2019Q4
US6740014096,2019Q4
US6934758326,2019Q4
US6934758573,2019Q4
US6943082064,2019Q4
US7091026028,2019Q4
US7091027018,2019Q4
US70931T3014,2019Q4
US70931T4004,2019Q4
US73317W2035,2019Q4
US75968N3098,2019Q4
US78407R2040,2019Q4
US78409G2066,2019Q4
US78409W2017,2019Q4
US78410V2007,2019Q4
US8085134026,2019Q4
US8085136005,2019Q4
US8385182071,2019Q4
US8425872061,2019Q4
US8425873051,2019Q4
US8425874042,2019Q4
US84860W2017,2019Q4
US8660826053,2019Q4
US8678926069,2019Q4
US8723072026,2019Q4
US8794337951,2019Q4
US8794338371,2019Q4
US8794338454,2019Q4
US8794338520,2019Q4
US8805913006,2019Q4
US8805914095,2019Q4
US8822283078,2019Q4
US8822284068,2019Q4
US89832Q8107,2019Q4
US89832Q8362,2019Q4
US90187B2007,2019Q4
US90187B3096,2019Q4
US90187B5075,2019Q4
US90187B7055,2019Q4
US9116844054,2019Q4
US9116845044,2019Q4
US9172868823,2019Q4
US9497463664,2019Q4
US9497464654,2019Q4
US9497465560,2019Q4
US9497466550,2019Q4
US9497467210,2019Q4
US9497467475,2019Q4
US94988U6560,2019Q4
US94988U6727,2019Q4
US94988U7147,2019Q4
US94988U7303,2019Q4
US62014P1084,2019Q4
GB0003035382,2019Q4
KYG8924B1041,2019Q4
GB00BZ0WG798,2019Q4
GB00BFMMKK82,2019Q4
GB00BGHVZM47,2019Q4
KR733626K013,2019Q4
DE000A2G8XP9,2019Q4
DE000A2NB7S2,2019Q4
KR7043610005,2019Q4
DE000A2TSMZ8,2019Q4
KYG4644K1022,2019Q4
TH9597010015,2019Q4
KYG4783B1032,2019Q4
US8865012046,2019Q4
LI0395602548,2019Q4
LI0134097059,2019Q4
CH0117043718,2019Q4
LU0637344622,2019Q4
AU60BFL00027,2019Q4
IE00B9140F89,2019Q4
LU1887441845,2019Q4
16009935,2019Q4
16010031,2019Q4
16011316,2019Q4
16011318,2019Q4
CH0016431642,2019Q4
IE00BFXW7F16,2019Q4
IE00BD87H020,2019Q4
IE00BZCPND13,2019Q4
IE00BDCJZD39,2019Q4
IE00BFZ89C86,2019Q4
CH0142702973,2019Q4
LU1808485178,2019Q4
BE0003763779,2019Q4
DE000C360PS6,2019Q4
ES0158252033,2019Q4
ES06349509S0,2019Q4
GB00B1VYCH82,2019Q4
GB00BC7H5F74,2019Q4
GB00BM4NV504,2019Q4
IT0003201198,2019Q4
IT0004978570,2019Q4
JP3885010003,2019Q4
SG1T08929278,2019Q4
SG5HB4000006,2019Q4
SGXC75818630,2019Q4
US014CVR0133,2019Q4
US808CVR1040,2019Q4
CH0512652667,2019Q4
GB00BKT6BP09,2019Q4
BRELETR02OR9,2019Q4
BRELETR04PB6,2019Q4
BRLAMER02PR9,2019Q4
CNE000000BQ0,2019Q4
CNE1000003D8,2019Q4
KYG2117A1067,2019Q4
ZAU000015380,2019Q4
CA05156X1087,2019Q4
CA82934H1010,2019Q4
DE000C174QX9,2019Q4
GB00F7D1RN68,2019Q4
GB00H6CNR452,2019Q4
IE00B06H8J93,2019Q4
MT0000600107,2019Q4
SE0013279320,2019Q4
IE00BLNMYB83,2019Q4
US01F0326177,2019Q4
US01F0326250,2019Q4
US01F0406284,2019Q4
US01F0406367,2019Q4
US15135BAS07,2019Q4
US21H0406247,2019Q4
US525ESCKW83,2019Q4
US40423XAB82,2019Q4
CH0022527938,2019Q4
CH0123385756 / nicht verwenden,2019Q4
DE000C3ZZTK3,2019Q4
FR0013468683,2019Q4
GB00H7MXJN56,2019Q4
AU0000072258,2019Q4
BMG4634Z1014,2019Q4
CY0000200119,2019Q4
FR0012332864,2019Q4
FR0013295300,2019Q4
FR0013374501,2019Q4
NL0000390706,2019Q4
US03940R1077,2019Q4
US1651677437,2019Q4
US9763913004,2019Q4
US89366M3007,2019Q4
BRLAMED02PR9,2019Q4
DummyASNISIN,2019Q4
